pmid,title,abstract,year,disease_group
28935150,Mediterranean diet and colorectal cancer: A systematic review.,"Colorectal cancer is the third most common cancer worldwide, especially in developed countries where an estimated 60% of all cases occur. There is evidence of a higher risk for CRC in Western society, where people tend to eat more red and processed meat than those living along the Mediterranean coast, who have a decreased overall cancer mortality, which is correlated to their eating habits, such as Mediterranean diet. The aim of this review was to evaluate the correlation between three components of the Mediterranean diet (olive oil, red wine, and tomatoes) and incidence and progression of colorectal cancer. As such, we conducted a literature search using keywords ""colorectal cancer,"" ""dietary pattern,"" ""Mediterranean diet,"" ""olive oil,"" ""protective effects,"" ""resveratrol,"" and ""lycopene."" Olive oil polyphenols, red wine resveratrol, and tomato lycopene showed several characteristics in vitro that interfere with molecular cancer pathways. At the same time, many clinical studies have reported an association of these components with a reduction in cancer initiation and progression. More clinical studies are needed to identify the precise dose and administration of single agents or their combination to produce a coadjutant treatment to those already applied in chemoprevention and oncologic treatment.",2017,cancer
34789537,Fasting-Mimicking Diet Is Safe and Reshapes Metabolism and Antitumor Immunity in Patients with Cancer.,"In tumor-bearing mice, cyclic fasting or fasting-mimicking diets (FMD) enhance the activity of antineoplastic treatments by modulating systemic metabolism and boosting antitumor immunity. Here we conducted a clinical trial to investigate the safety and biological effects of cyclic, five-day FMD in combination with standard antitumor therapies. In 101 patients, the FMD was safe, feasible, and resulted in a consistent decrease of blood glucose and growth factor concentration, thus recapitulating metabolic changes that mediate fasting/FMD anticancer effects in preclinical experiments. Integrated transcriptomic and deep-phenotyping analyses revealed that FMD profoundly reshapes anticancer immunity by inducing the contraction of peripheral blood immunosuppressive myeloid and regulatory T-cell compartments, paralleled by enhanced intratumor Th1/cytotoxic responses and an enrichment of IFNγ and other immune signatures associated with better clinical outcomes in patients with cancer. Our findings lay the foundations for phase II/III clinical trials aimed at investigating FMD antitumor efficacy in combination with standard antineoplastic treatments. SIGNIFICANCE: Cyclic FMD is well tolerated and causes remarkable systemic metabolic changes in patients with different tumor types and treated with concomitant antitumor therapies. In addition, the FMD reshapes systemic and intratumor immunity, finally activating several antitumor immune programs. Phase II/III clinical trials are needed to investigate FMD antitumor activity/efficacy.<i>This article is highlighted in the In This Issue feature, p. 1</i>.",2022,cancer
30031175,"Environmental Factors, Gut Microbiota, and Colorectal Cancer Prevention.","The substantial burden of colorectal cancer and increasing trend in young adults highlight the importance of lifestyle modification as a complement to screening for colorectal cancer prevention. Several dietary and lifestyle factors have been implicated in the development of colorectal cancer, possibly through the intricate metabolic and inflammatory mechanisms. Likewise, as a key metabolic and immune regulator, the gut microbiota has been recognized to play an important role in colorectal tumorigenesis. Increasing data support that environmental factors are crucial determinants for the gut microbial composition and function, whose alterations induce changes in the host gene expression, metabolic regulation, and local and systemic immune response, thereby influencing cancer development. Here, we review the epidemiologic and mechanistic evidence regarding the links between diet and lifestyle and the gut microbiota in the development of colorectal cancer. We focus on factors for which substantial data support their importance for colorectal cancer and their potential role in the gut microbiota, including overweight and obesity, physical activity, dietary patterns, fiber, red and processed meat, marine omega-3 fatty acid, alcohol, and smoking. We also briefly describe other colorectal cancer-preventive factors for which the links with the gut microbiota have been suggested but remain to be mechanistically characterized, including vitamin D status, dairy consumption, and metformin use. Given limitations in available evidence, we highlight the need for further investigations in the relationship between environmental factors, gut microbiota, and colorectal cancer, which may lead to development and clinical translation of potential microbiota-based strategies for cancer prevention.",2019,cancer
33401525,Dietary Factors Modulating Colorectal Carcinogenesis.,"The development of colorectal cancer, responsible for 9% of cancer-related deaths, is favored by a combination of genetic and environmental factors. The modification of diet and lifestyle may modify the risk of colorectal cancer (CRC) and prevent neoplasia in up to 50% of cases. The Western diet, characterized by a high intake of fat, red meat and processed meat has emerged as an important contributor. Conversely, a high intake of dietary fiber partially counteracts the unfavorable effects of meat through multiple mechanisms, including reduced intestinal transit time and dilution of carcinogenic compounds. Providing antioxidants (e.g., vitamins C and E) and leading to increased intraluminal production of protective fermentation products, like butyrate, represent other beneficial and useful effects of a fiber-rich diet. Protective effects on the risk of developing colorectal cancer have been also advocated for some specific micronutrients like vitamin D, selenium, and calcium. Diet-induced modifications of the gut microbiota modulate colonic epithelial cell homeostasis and carcinogenesis. This can have, under different conditions, opposite effects on the risk of CRC, through the production of mutagenic and carcinogenic agents or, conversely, of protective compounds. The aim of this review is to summarize the most recent evidence on the role of diet as a potential risk factor for the development of colorectal malignancies, as well as providing possible prevention dietary strategies.",2021,cancer
27510511,"Physical activity and risk of breast cancer, colon cancer, diabetes, ischemic heart disease, and ischemic stroke events: systematic review and dose-response meta-analysis for the Global Burden of Disease Study 2013."," To quantify the dose-response associations between total physical activity and risk of breast cancer, colon cancer, diabetes, ischemic heart disease, and ischemic stroke events.  Systematic review and Bayesian dose-response meta-analysis.  PubMed and Embase from 1980 to 27 February 2016, and references from relevant systematic reviews. Data from the Study on Global AGEing and Adult Health conducted in China, Ghana, India, Mexico, Russia, and South Africa from 2007 to 2010 and the US National Health and Nutrition Examination Surveys from 1999 to 2011 were used to map domain specific physical activity (reported in included studies) to total activity.  Prospective cohort studies examining the associations between physical activity (any domain) and at least one of the five diseases studied.  174 articles were identified: 35 for breast cancer, 19 for colon cancer, 55 for diabetes, 43 for ischemic heart disease, and 26 for ischemic stroke (some articles included multiple outcomes). Although higher levels of total physical activity were significantly associated with lower risk for all outcomes, major gains occurred at lower levels of activity (up to 3000-4000 metabolic equivalent (MET) minutes/week). For example, individuals with a total activity level of 600 MET minutes/week (the minimum recommended level) had a 2% lower risk of diabetes compared with those reporting no physical activity. An increase from 600 to 3600 MET minutes/week reduced the risk by an additional 19%. The same amount of increase yielded much smaller returns at higher levels of activity: an increase of total activity from 9000 to 12 000 MET minutes/week reduced the risk of diabetes by only 0.6%. Compared with insufficiently active individuals (total activity <600 MET minutes/week), the risk reduction for those in the highly active category (≥8000 MET minutes/week) was 14% (relative risk 0.863, 95% uncertainty interval 0.829 to 0.900) for breast cancer; 21% (0.789, 0.735 to 0.850) for colon cancer; 28% (0.722, 0.678 to 0.768) for diabetes; 25% (0.754, 0.704 to 0.809) for ischemic heart disease; and 26% (0.736, 0.659 to 0.811) for ischemic stroke.  People who achieve total physical activity levels several times higher than the current recommended minimum level have a significant reduction in the risk of the five diseases studied. More studies with detailed quantification of total physical activity will help to find more precise relative risk estimates for different levels of activity.",2016,cancer
35000418,Risk Factors for the Diagnosis of Colorectal Cancer.,"Colorectal cancer defined as cancer of the colon or rectum, is the third most frequently diagnosed cancer in men and the second in women, and, according to the World Health Organization database GLOBOCAN, it accounts for nearly 1.4 million new cases annually worldwide. The occurrence of colorectal cancer is associated with nonmodifiable risk factors, including age and hereditary factors, as well as with modifiable environmental and lifestyle factors. The study included 800 patients, 400 diagnosed with colorectal cancer and 400 within the control group, who gave their written informed consent to participate in the study. Patients with cancer other than colorectal cancer were randomly selected for control group I, and patients with no cancer diagnosis were selected for control group II. The method used was a case-control study - an observational and analytical study with a control group, conducted among patients of the Clinical Oncology Centre and the Provincial Hospital in the years 2019-2020. The study comparing the exposure was carried out in a group of people who developed the endpoint, that is colorectal cancer, with the exposure in a well-matched group of controls who did not reach the endpoint. Assessment of activity and BMI was used according to WHO recommendations, as well as the expert system. The data were tested for the distribution and the homogeneity of variance was validated before applying the parameter tests. Comparison of quantitative variables between groups was performed using ANOVA. The mean age of the patients was 64.53 ± 8.86 years, of the control group I - 59.64 ± 9.33 and the control group II - 57.5 (7.83). There was a strong positive association between the incidence of ulcerative colitis and the risk of colorectal cancer (<i>P</i> < .01). Among obese subjects, the risk of developing colorectal cancer was 1.27 (95% CI, 1.06-1.53) compared with nonobese subjects. A strong positive relationship was found between low physical activity converted to metabolic equivalent of MET effort per week and the risk of colorectal cancer (<i>P</i> < .001). The relative risk for current smokers was 2.17 (95% CI 1.79-2.66). There was an association between higher fat consumption and higher red meat consumption and the risk of developing colorectal cancer (<i>P</i> < .01). Obesity, low physical activity, active and passive smoking and high salt and red meat consumption have been associated with an increased risk of colorectal cancer. These findings provide further evidence of the importance of maintaining a healthy lifestyle.",2022,cancer
29274927,Red and processed meat consumption and breast cancer: UK Biobank cohort study and meta-analysis.,"Red and processed meat may be risk factors for breast cancer due to their iron content, administration of oestrogens to cattle or mutagens created during cooking. We studied the associations in UK Biobank and then included the results in a meta-analysis of published cohort studies. UK Biobank, a general population cohort study, recruited participants aged 40-69 years. Incident breast cancer was ascertained via linkage to routine hospital admission, cancer registry and death certificate data. Univariate and multivariable Cox proportional hazard models were used to explore the associations between red and processed meat consumption and breast cancer. Previously published cohort studies were identified from a systematic review using PubMed and Ovid and a meta-analysis conducted using a random effects model. Over a median of 7 years follow-up, 4819 of the 262,195 women developed breast cancer. The risk was increased in the highest tertile (>9 g/day) of processed meat consumption (adjusted hazard ratio [HR] 1.21, 95% confidence interval [CI] 1.08-1.35, p = 0.001). Collation with 10 previous cohort studies provided data on 40,257 incident breast cancers in 1.65 million women. On meta-analysis, processed meat consumption was associated with overall (relative risk [RR] 1.06, 95% CI 1.01-1.11) and post-menopausal (RR 1.09, 95% CI 1.03-1.15), but not pre-menopausal (RR 0.99, 95% CI 0.88-1.10), breast cancer. In UK Biobank and the meta-analysis, red meat consumption was not associated with breast cancer (adjusted HR 0.99 95% CI 0.88-1.12 and RR 1.03, 95% CI 0.99-1.08, respectively). Consumption of processed meat, but not red meat, may increase the risk of breast cancer.",2018,cancer
28759385,"Physical activity, sedentary behaviour, diet, and cancer: an update and emerging new evidence.","The lifestyle factors of physical activity, sedentary behaviour, and diet are increasingly being studied for their associations with cancer. Physical activity is inversely associated with and sedentary behaviour is positively (and independently) associated with an increased risk of more than ten types of cancer, including colorectal cancer (and advanced adenomas), endometrial cancers, and breast cancer. The most consistent dietary risk factor for premalignant and invasive breast cancer is alcohol, whether consumed during early or late adult life, even at low levels. Epidemiological studies show that the inclusion of wholegrain, fibre, fruits, and vegetables within diets are associated with reduced cancer risk, with diet during early life (age <8 years) having the strongest apparent association with cancer incidence. However, randomised controlled trials of diet-related factors have not yet shown any conclusive associations between diet and cancer incidence. Obesity is a key contributory factor associated with cancer risk and mortality, including in dose-response associations in endometrial and post-menopausal breast cancer, and in degree and duration of fatty liver disease-related hepatocellular carcinoma. Obesity produces an inflammatory state, characterised by macrophages clustered around enlarged hypertrophied, dead, and dying adipocytes, forming crown-like structures. Increased concentrations of aromatase and interleukin 6 in inflamed breast tissue and an increased number of macrophages, compared with healthy tissue, are also observed in women with normal body mass index, suggesting a metabolic obesity state. Emerging randomised controlled trials of physical activity and dietary factors and mechanistic studies of immunity, inflammation, extracellular matrix mechanics, epigenetic or transcriptional regulation, protein translation, circadian disruption, and interactions of the multibiome with lifestyle factors will be crucial to advance this field.",2017,cancer
28205448,Association between red meat consumption and colon cancer: A systematic review of experimental results.,"A role for red and processed meat in the development of colorectal cancer has been proposed based largely on evidence from observational studies in humans, especially in those populations consuming a westernized diet. Determination of causation specifically by red or processed meat is contingent upon identification of plausible mechanisms that lead to colorectal cancer. We conducted a systematic review of the available evidence to determine the availability of plausible mechanistic data linking red and processed meat consumption to colorectal cancer risk. Forty studies using animal models or cell cultures met specified inclusion criteria, most of which were designed to examine the role of heme iron or heterocyclic amines in relation to colon carcinogenesis. Most studies used levels of meat or meat components well in excess of those found in human diets. Although many of the experiments used semi-purified diets designed to mimic the nutrient loads in current westernized diets, most did not include potential biologically active protective compounds present in whole foods. Because of these limitations in the existing literature, there is currently insufficient evidence to confirm a mechanistic link between the intake of red meat as part of a healthy dietary pattern and colorectal cancer risk. Impact statement Current recommendations to reduce colon cancer include the reduction or elimination of red or processed meats. These recommendations are based on data from epidemiological studies conducted among cultures where meat consumption is elevated and consumption of fruits, vegetables, and whole grains are reduced. This review evaluated experimental data exploring the putative mechanisms whereby red or processed meats may contribute to colon cancer. Most studies used levels of meat or meat-derived compounds that were in excess of those in human diets, even in cultures where meat intake is elevated. Experiments where protective dietary compounds were used to mitigate the extreme levels of meat and meat-derived compounds showed protection against colon cancer, with some essentially negating the impact of meat in the diet. It is essential that better-designed studies be conducted that use relevant concentrations of meat or meat-derived compounds in complex diets representative of the foods consumed by humans.",2017,cancer
30993317,Diet and colorectal cancer in UK Biobank: a prospective study.,"Most of the previous studies on diet and colorectal cancer were based on diets consumed during the 1990s. We used Cox-regression models to estimate adjusted hazard ratios for colorectal cancer by dietary factors in the UK Biobank study. Men and women aged 40-69 years at recruitment (2006-10) reported their diet on a short food-frequency questionnaire (n = 475 581). Dietary intakes were re-measured in a large sub-sample (n = 175 402) who completed an online 24-hour dietary assessment during follow-up. Trends in risk across the baseline categories were calculated by assigning re-measured intakes to allow for measurement error and changes in intake over time. During an average of 5.7 years of follow-up, 2609 cases of colorectal cancer occurred. Participants who reported consuming an average of 76 g/day of red and processed meat compared with 21 g/day had a 20% [95% confidence interval (CI): 4-37] higher risk of colorectal cancer. Participants in the highest fifth of intake of fibre from bread and breakfast cereals had a 14% (95% CI: 2-24) lower risk of colorectal cancer. Alcohol was associated with an 8% (95% CI: 4-12) higher risk per 10 g/day higher intake. Fish, poultry, cheese, fruit, vegetables, tea and coffee were not associated with colorectal-cancer risk. Consumption of red and processed meat at an average level of 76 g/d that meets the current UK government recommendation (≤90 g/day) was associated with an increased risk of colorectal cancer. Alcohol was also associated with an increased risk of colorectal cancer, whereas fibre from bread and breakfast cereals was associated with a reduced risk.",2020,cancer
35291893,"Total, red and processed meat consumption and human health: an umbrella review of observational studies.","Meat consumption has represented an important evolutionary step for humans. However, modern patterns of consumption, including excess intake, type of meat and cooking method have been the focus of attention as a potential cause of rise in non-communicable diseases. The aim of this study was to investigate the association between total, red and processed meat with health outcomes and to assess the level of evidence by performing a systematic search of meta-analyses of prospective cohort studies. Convincing evidence of the association between increased risk of (i) colorectal adenoma, lung cancer, CHD and stroke, (ii) colorectal adenoma, ovarian, prostate, renal and stomach cancers, CHD and stroke and (iii) colon and bladder cancer was found for excess intake of total, red and processed meat, respectively. Possible negative associations with other health outcomes have been reported. Excess meat consumption may be detrimental to health, with a major impact on cardiometabolic and cancer risk.",2022,cancer
33591366,Role of Diet in Colorectal Cancer Incidence: Umbrella Review of Meta-analyses of Prospective Observational Studies.,"Several meta-analyses have summarized evidence for the association between dietary factors and the incidence of colorectal cancer (CRC). However, to date, there has been little synthesis of the strength, precision, and quality of this evidence in aggregate. To grade the evidence from published meta-analyses of prospective observational studies that assessed the association of dietary patterns, specific foods, food groups, beverages (including alcohol), macronutrients, and micronutrients with the incidence of CRC. MEDLINE, Embase, and the Cochrane Library were searched from database inception to September 2019. Only meta-analyses of prospective observational studies with a cohort study design were eligible. Evidence of association was graded according to established criteria as follows: convincing, highly suggestive, suggestive, weak, or not significant. From 9954 publications, 222 full-text articles (2.2%) were evaluated for eligibility, and 45 meta-analyses (20.3%) that described 109 associations between dietary factors and CRC incidence were selected. Overall, 35 of the 109 associations (32.1%) were nominally statistically significant using random-effects meta-analysis models; 17 associations (15.6%) demonstrated large heterogeneity between studies (I2 > 50%), whereas small-study effects were found for 11 associations (10.1%). Excess significance bias was not detected for any association between diet and CRC. The primary analysis identified 5 (4.6%) convincing, 2 (1.8%) highly suggestive, 10 (9.2%) suggestive, and 18 (16.5%) weak associations between diet and CRC, while there was no evidence for 74 (67.9%) associations. There was convincing evidence of an association of intake of red meat (high vs low) and alcohol (≥4 drinks/d vs 0 or occasional drinks) with the incidence of CRC and an inverse association of higher vs lower intakes of dietary fiber, calcium, and yogurt with CRC risk. The evidence for convincing associations remained robust following sensitivity analyses. This umbrella review found convincing evidence of an association between lower CRC risk and higher intakes of dietary fiber, dietary calcium, and yogurt and lower intakes of alcohol and red meat. More research is needed on specific foods for which evidence remains suggestive, including other dairy products, whole grains, processed meat, and specific dietary patterns.",2021,cancer
36541995,The Benefits of Exercise in Breast Cancer.,"Breast cancer is the most prevalent cancer among women, accounting for nearly 30% of all cancers, while in men, it represents only 1% of cases. Breast cancer is the main cause of death for cancer, and its incidence and mortality vary according to patients' ethnicity, geographic region, and socioeconomic status. Due to the low prevalence of breast cancer among men and the scarcity of studies in the literature, exercises have been prescribed based on extrapolations from studies on female patients. Scientific evidence has suggested beneficial effects of physical exercises on breast cancer prevention, treatment, and post-treatment. In addition to combatting sedentary behavior, it is essential to maintain a healthy body weight, limit alcohol consumption, and follow a balanced diet, rich in fruit, vegetables, grains and fibers, and limited in red meat. The effects of exercises are not restricted to breast cancer, but extend to controlling modifiable risk factors, and reducing the incidence of cardiovascular diseases, and all-cause and cardiovascular mortality.",2022,cancer
28956850,Precision Nutrition for Targeting Lipid Metabolism in Colorectal Cancer.,"Cancer is a multistage and multifactorial condition with genetic and environmental factors modulating tumorogenesis and disease progression. Nevertheless, cancer is preventable, as one third of cancer deaths could be avoided by modifying key risk factors. Nutrients can directly affect fundamental cellular processes and are considered among the most important risk factors in colorectal cancer (CRC). Red and processed meat, poultry consumption, fiber, and folate are the best-known diet components that interact with colorectal cancer susceptibility. In addition, the direct association of an unhealthy diet with obesity and dysbiosis opens new routes in the understanding of how daily diet nutrients could influence cancer prognosis. In the ""omics"" era, traditional nutrition has been naturally evolved to precision nutrition where technical developments have contributed to a more accurate discipline. In this sense, genomic and transcriptomic studies have been extensively used in precision nutrition approaches. However, the relation between CRC carcinogenesis and nutrition factors is more complex than originally expected. Together with classical diet-nutrition-related genes, nowadays, lipid-metabolism-related genes have acquired relevant interest in precision nutrition studies. Lipids regulate very diverse cellular processes from ATP synthesis and the activation of essential cell-signaling pathways to membrane organization and plasticity. Therefore, a wide range of tumorogenic steps can be influenced by lipid metabolism, both in primary tumours and distal metastasis. The extent to which genetic variants, together with the intake of specific dietary components, affect the risk of CRC is currently under investigation, and new therapeutic or preventive applications must be explored in CRC models. In this review, we will go in depth into the study of co-occurring events, which orchestrate CRC tumorogenesis and are essential for the evolution of precision nutrition paradigms. Likewise, we will discuss the application of precision nutrition approaches to target lipid metabolism in CRC.",2017,cancer
